No.,자음그룹,한자,대표훈음,원획수,뜻풀이(원문),자원오행,원본페이지,비고
1,가,加,더할 가,5,"더하다, 배불다, 입다, 쓸다, 처하다, 치다",水,12,
2,가,可,옳을 가,5,"옳다, 찬성하다, 듣다",水,12,
3,가,价,착할 개,6,"착하다, 크다, 심부름 꾼. 값 가",火,21,
4,가,伽,절 가,7,"절, 사찰, 가지",火,12,
5,가,佳,아름다울 가,8,"아름답다, 좋다, 좋아하다, 크다",火,12,
6,가,坷,평탄하지않을 가,8,"더하다, 베풀다, 입다, 쓸다, 처하다, 치다",土,12,
7,가,呵,꾸짖을 가,8,"꾸짖다, 웃다, 붐다, 비난하다",水,12,
8,가,岢,산 이름 가,8,땅이름. 산 이름 가,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
9,가,柯,가지 가,9,"가지, 잎, 줄기, 자루, 밥그릇",木,12,
10,가,枷,도리깨 가,9,"도리깨, 횟대, 칼",木,12,
11,가,架,시렁 가,9,"시렁, 횟대, 말뚝, 잠자리",木,12,
12,가,泇,물 이름 가,9,땅이름. 물 이름 가,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
13,가,牁,배말뚝 가,9,배말뚝. 배말뚝 가,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
14,가,家,집 가,10,"집, 가정, 남편, 아내, 살다. 뛰어난 사람",木,12,
15,가,哥,노래 가,10,"노래, 소리, 노랫소리",水,12,
16,가,賀,옳을 가,10,"좋다, 옳다, 훌륭하다",水,12,
17,가,珂,옥이름 가,10,"옥 이름, 흰 마노, 말 굴레",金,12,
18,가,珈,머리꾸미개 가,10,"머리꾸미개, 떨잠",金,13,원획수 육필 수정(10)
19,가,哿,옳을 가,10,"옳다, 마땅하다(맞고 정당함을 이룸). 옳음이나 찬동을 나타내는 옛 표현, 문어적 용법(문헌적 사용)",水,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
